CustomerID,TotalPurchaseAmount,NumberOfPurchases,AveragePurchaseValue,ClusterID,CustomerSegment
C10063,66.03,2,33.02,1,Low-Value Customers
C10064,50.77,2,25.38,1,Low-Value Customers
C10065,38.99,3,13.0,1,Low-Value Customers
C10066,425.89,6,70.98,2,Regular Customers
C10067,29.46,1,29.46,1,Low-Value Customers
C10068,28.21,2,14.1,1,Low-Value Customers
C10069,89.24,3,29.75,1,Low-Value Customers
C10070,574.8,8,71.85,2,Regular Customers
C10071,101.14,3,33.71,1,Low-Value Customers
C10072,155.84,4,38.96,1,Low-Value Customers
C10073,25.17,1,25.17,1,Low-Value Customers
C10074,760.54,8,95.07,2,Regular Customers
C10075,560.6,11,50.96,2,Regular Customers
C10076,784.87,11,71.35,2,Regular Customers
C10077,57.19,2,28.6,1,Low-Value Customers
C10078,358.06,6,59.68,2,Regular Customers
C10079,4900.31,15,326.69,0,High-Value Customers
C10080,337.65,6,56.28,2,Regular Customers
C10081,119.76,4,29.94,1,Low-Value Customers
C10082,43.44,3,14.48,1,Low-Value Customers
C10083,421.48,5,84.3,2,Regular Customers
C10084,43.8,2,21.9,1,Low-Value Customers
C10085,724.12,10,72.41,2,Regular Customers
C10086,769.1,10,76.91,2,Regular Customers
C10087,44.92,2,22.46,1,Low-Value Customers
C10088,30.51,1,30.51,1,Low-Value Customers
C10089,453.78,5,90.76,2,Regular Customers
C10090,96.66,3,32.22,1,Low-Value Customers
C10091,154.24,4,38.56,1,Low-Value Customers
C10092,86.06,2,43.03,1,Low-Value Customers
C10093,84.8,3,28.27,1,Low-Value Customers
C10094,157.2,4,39.3,1,Low-Value Customers
C10095,128.24,4,32.06,1,Low-Value Customers
C10096,439.32,7,62.76,2,Regular Customers
C10097,580.38,11,52.76,2,Regular Customers
C10098,28.99,1,28.99,1,Low-Value Customers
C10099,24.86,1,24.86,1,Low-Value Customers
C10100,51.35,3,17.12,1,Low-Value Customers
C10101,621.57,10,62.16,2,Regular Customers
C10102,92.49,4,23.12,1,Low-Value Customers
C10103,1156.84,11,105.17,2,Regular Customers
C10104,569.65,7,81.38,2,Regular Customers
C10105,70.51,4,17.63,1,Low-Value Customers
C10106,701.6,10,70.16,2,Regular Customers
C10107,3038.15,16,189.88,0,High-Value Customers
C10108,378.53,6,63.09,2,Regular Customers
C10109,588.66,7,84.09,2,Regular Customers
C10110,543.16,9,60.35,2,Regular Customers
C10111,89.43,2,44.72,1,Low-Value Customers
C10112,847.88,9,94.21,2,Regular Customers
C10113,102.48,3,34.16,1,Low-Value Customers
C10114,117.36,3,39.12,1,Low-Value Customers
C10115,62.63,2,31.32,1,Low-Value Customers
C10116,119.82,4,29.96,1,Low-Value Customers
C10117,43.21,1,43.21,1,Low-Value Customers
C10118,125.62,3,41.87,1,Low-Value Customers
C10119,115.05,4,28.76,1,Low-Value Customers
C10120,836.03,10,83.6,2,Regular Customers
C10121,752.74,9,83.64,2,Regular Customers
C10122,776.11,8,97.01,2,Regular Customers
C10123,57.36,2,28.68,1,Low-Value Customers
C10124,151.56,3,50.52,1,Low-Value Customers
C10125,118.76,3,39.59,1,Low-Value Customers
C10126,59.12,3,19.71,1,Low-Value Customers
C10127,54.56,3,18.19,1,Low-Value Customers
C10128,3091.98,14,220.86,0,High-Value Customers
C10129,530.79,7,75.83,2,Regular Customers
C10130,90.28,2,45.14,1,Low-Value Customers
C10131,119.34,3,39.78,1,Low-Value Customers
C10132,7489.04,27,277.37,0,High-Value Customers
C10133,58.42,2,29.21,1,Low-Value Customers
C10134,84.21,2,42.1,1,Low-Value Customers
C10135,64.01,3,21.34,1,Low-Value Customers
C10136,137.91,3,45.97,1,Low-Value Customers
C10137,27.77,1,27.77,1,Low-Value Customers
C10138,1115.72,12,92.98,2,Regular Customers
C10139,125.44,4,31.36,1,Low-Value Customers
C10140,5775.16,22,262.51,0,High-Value Customers
C10141,93.2,4,23.3,1,Low-Value Customers
C10142,124.89,3,41.63,1,Low-Value Customers
C10143,78.02,2,39.01,1,Low-Value Customers
C10144,1260.03,12,105.0,2,Regular Customers
C10145,857.94,12,71.5,2,Regular Customers
C10146,141.27,4,35.32,1,Low-Value Customers
C10147,84.68,4,21.17,1,Low-Value Customers
C10148,157.49,4,39.37,1,Low-Value Customers
C10149,9567.31,27,354.34,0,High-Value Customers
C10150,318.01,5,63.6,1,Low-Value Customers
C10151,52.22,1,52.22,1,Low-Value Customers
C10152,7243.16,28,258.68,0,High-Value Customers
C10153,55.9,2,27.95,1,Low-Value Customers
C10154,43.1,1,43.1,1,Low-Value Customers
C10155,38.8,2,19.4,1,Low-Value Customers
C10156,28.88,1,28.88,1,Low-Value Customers
C10157,584.11,11,53.1,2,Regular Customers
C10158,6562.64,25,262.51,0,High-Value Customers
C10159,85.21,2,42.6,1,Low-Value Customers
C10160,132.43,4,33.11,1,Low-Value Customers
C10161,30.91,1,30.91,1,Low-Value Customers
C10162,135.01,3,45.0,1,Low-Value Customers
C10163,629.66,8,78.71,2,Regular Customers
C10164,102.6,4,25.65,1,Low-Value Customers
C10165,538.06,6,89.68,2,Regular Customers
C10166,116.14,4,29.04,1,Low-Value Customers
C10167,583.87,6,97.31,2,Regular Customers
C10168,730.74,10,73.07,2,Regular Customers
C10169,73.48,2,36.74,1,Low-Value Customers
C10170,43.23,1,43.23,1,Low-Value Customers
C10171,179.07,4,44.77,1,Low-Value Customers
C10172,41.86,1,41.86,1,Low-Value Customers
C10173,69.03,3,23.01,1,Low-Value Customers
C10174,92.8,3,30.93,1,Low-Value Customers
C10175,459.55,8,57.44,2,Regular Customers
C10176,80.41,2,40.2,1,Low-Value Customers
C10177,145.98,3,48.66,1,Low-Value Customers
C10178,310.0,6,51.67,1,Low-Value Customers
C10179,805.94,12,67.16,2,Regular Customers
C10180,139.56,4,34.89,1,Low-Value Customers
C10181,262.73,5,52.55,1,Low-Value Customers
C10182,691.8,7,98.83,2,Regular Customers
C10183,33.1,1,33.1,1,Low-Value Customers
C10184,54.8,2,27.4,1,Low-Value Customers
C10185,149.26,4,37.32,1,Low-Value Customers
C10186,75.94,2,37.97,1,Low-Value Customers
C10187,519.25,7,74.18,2,Regular Customers
C10188,46.6,2,23.3,1,Low-Value Customers
C10189,840.07,9,93.34,2,Regular Customers
C10190,55.33,1,55.33,1,Low-Value Customers
C10191,826.69,11,75.15,2,Regular Customers
C10192,17.45,1,17.45,1,Low-Value Customers
C10193,3796.6,14,271.19,0,High-Value Customers
C10194,108.46,3,36.15,1,Low-Value Customers
C10195,22.1,1,22.1,1,Low-Value Customers
C10196,57.89,2,28.94,1,Low-Value Customers
C10197,6.35,1,6.35,1,Low-Value Customers
C10198,180.76,4,45.19,1,Low-Value Customers
C10199,67.7,3,22.57,1,Low-Value Customers
C10200,542.55,5,108.51,2,Regular Customers
C10201,824.83,9,91.65,2,Regular Customers
C10202,575.73,9,63.97,2,Regular Customers
C10203,53.99,4,13.5,1,Low-Value Customers
C10204,59.88,3,19.96,1,Low-Value Customers
C10205,134.49,4,33.62,1,Low-Value Customers
C10206,78.37,2,39.18,1,Low-Value Customers
C10207,62.84,3,20.95,1,Low-Value Customers
C10208,30.13,2,15.06,1,Low-Value Customers
C10209,75.22,4,18.8,1,Low-Value Customers
C10210,519.47,6,86.58,2,Regular Customers
C10211,2105.3,11,191.39,2,Regular Customers
C10212,70.64,2,35.32,1,Low-Value Customers
C10213,5366.03,21,255.53,0,High-Value Customers
C10214,839.1,12,69.92,2,Regular Customers
C10215,5826.39,22,264.84,0,High-Value Customers
C10216,716.36,12,59.7,2,Regular Customers
C10217,453.58,9,50.4,2,Regular Customers
C10218,85.92,2,42.96,1,Low-Value Customers
C10219,45.28,2,22.64,1,Low-Value Customers
C10220,72.11,4,18.03,1,Low-Value Customers
C10221,22.64,1,22.64,1,Low-Value Customers
C10222,572.19,9,63.58,2,Regular Customers
C10223,73.4,2,36.7,1,Low-Value Customers
C10224,996.95,12,83.08,2,Regular Customers
C10225,1118.69,10,111.87,2,Regular Customers
C10226,563.22,6,93.87,2,Regular Customers
C10227,685.73,11,62.34,2,Regular Customers
C10228,80.88,4,20.22,1,Low-Value Customers
C10229,653.61,11,59.42,2,Regular Customers
C10230,7172.56,25,286.9,0,High-Value Customers
C10231,138.04,3,46.01,1,Low-Value Customers
C10232,498.56,8,62.32,2,Regular Customers
C10233,64.5,2,32.25,1,Low-Value Customers
C10234,67.53,2,33.76,1,Low-Value Customers
C10235,807.58,7,115.37,2,Regular Customers
C10236,3028.05,12,252.34,0,High-Value Customers
C10237,461.57,7,65.94,2,Regular Customers
C10238,35.16,1,35.16,1,Low-Value Customers
C10239,87.97,3,29.32,1,Low-Value Customers
C10240,80.38,3,26.79,1,Low-Value Customers
C10241,114.09,4,28.52,1,Low-Value Customers
C10242,31.98,2,15.99,1,Low-Value Customers
C10243,419.55,5,83.91,2,Regular Customers
C10244,48.44,2,24.22,1,Low-Value Customers
C10245,85.09,3,28.36,1,Low-Value Customers
C10246,34.35,1,34.35,1,Low-Value Customers
C10247,53.75,2,26.88,1,Low-Value Customers
C10248,5316.21,25,212.65,0,High-Value Customers
C10249,59.35,2,29.68,1,Low-Value Customers
C10250,7867.72,25,314.71,0,High-Value Customers
C10251,136.49,3,45.5,1,Low-Value Customers
C10252,159.58,4,39.9,1,Low-Value Customers
C10253,37.11,1,37.11,1,Low-Value Customers
C10254,952.33,9,105.81,2,Regular Customers
C10255,89.62,3,29.87,1,Low-Value Customers
C10256,682.92,11,62.08,2,Regular Customers
C10257,179.1,4,44.78,1,Low-Value Customers
C10258,808.26,10,80.83,2,Regular Customers
C10259,3353.68,16,209.6,0,High-Value Customers
C10260,88.87,2,44.44,1,Low-Value Customers
C10261,25.64,1,25.64,1,Low-Value Customers
C10262,744.21,8,93.03,2,Regular Customers
C10263,1220.95,12,101.75,2,Regular Customers
C10264,154.72,4,38.68,1,Low-Value Customers
C10265,551.22,10,55.12,2,Regular Customers
C10266,1945.72,10,194.57,2,Regular Customers
C10267,50.58,2,25.29,1,Low-Value Customers
C10268,462.28,5,92.46,2,Regular Customers
C10269,982.41,11,89.31,2,Regular Customers
C10270,601.81,6,100.3,2,Regular Customers
C10271,332.22,5,66.44,1,Low-Value Customers
C10272,7520.0,21,358.1,0,High-Value Customers
C10273,45.82,2,22.91,1,Low-Value Customers
C10274,897.74,10,89.77,2,Regular Customers
C10275,91.77,2,45.88,1,Low-Value Customers
C10276,31.11,1,31.11,1,Low-Value Customers
C10277,1086.32,11,98.76,2,Regular Customers
C10278,441.2,7,63.03,2,Regular Customers
C10279,63.13,2,31.56,1,Low-Value Customers
C10280,67.57,3,22.52,1,Low-Value Customers
C10281,891.56,11,81.05,2,Regular Customers
C10282,48.49,2,24.24,1,Low-Value Customers
C10283,1119.08,12,93.26,2,Regular Customers
C10284,3931.03,16,245.69,0,High-Value Customers
C10285,142.93,4,35.73,1,Low-Value Customers
C10286,705.66,11,64.15,2,Regular Customers
C10287,724.27,10,72.43,2,Regular Customers
C10288,121.4,3,40.47,1,Low-Value Customers
C10289,373.93,7,53.42,2,Regular Customers
C10290,316.29,6,52.72,1,Low-Value Customers
C10291,666.05,7,95.15,2,Regular Customers
C10292,46.12,1,46.12,1,Low-Value Customers
C10293,927.22,10,92.72,2,Regular Customers
C10294,21.09,1,21.09,1,Low-Value Customers
C10295,853.27,9,94.81,2,Regular Customers
C10296,75.24,3,25.08,1,Low-Value Customers
C10297,65.71,3,21.9,1,Low-Value Customers
C10298,4168.79,16,260.55,0,High-Value Customers
C10299,124.51,4,31.13,1,Low-Value Customers
C10300,845.57,12,70.46,2,Regular Customers
C10301,5439.68,17,319.98,0,High-Value Customers
C10302,113.34,3,37.78,1,Low-Value Customers
C10303,759.36,10,75.94,2,Regular Customers
C10304,120.18,3,40.06,1,Low-Value Customers
C10305,109.67,4,27.42,1,Low-Value Customers
C10306,60.58,4,15.14,1,Low-Value Customers
C10307,90.68,3,30.23,1,Low-Value Customers
C10308,33.79,2,16.9,1,Low-Value Customers
C10309,6014.25,25,240.57,0,High-Value Customers
C10310,68.83,2,34.42,1,Low-Value Customers
C10311,663.55,9,73.73,2,Regular Customers
C10312,444.41,8,55.55,2,Regular Customers
C10313,869.99,9,96.67,2,Regular Customers
C10314,21.91,1,21.91,1,Low-Value Customers
C10315,42.86,1,42.86,1,Low-Value Customers
C10316,84.64,4,21.16,1,Low-Value Customers
C10317,576.52,7,82.36,2,Regular Customers
C10318,115.91,3,38.64,1,Low-Value Customers
C10319,35.58,1,35.58,1,Low-Value Customers
C10320,82.84,4,20.71,1,Low-Value Customers
C10321,398.71,6,66.45,2,Regular Customers
C10322,585.03,8,73.13,2,Regular Customers
C10323,38.71,2,19.36,1,Low-Value Customers
C10324,132.65,4,33.16,1,Low-Value Customers
C10325,8290.37,25,331.61,0,High-Value Customers
C10326,1058.59,10,105.86,2,Regular Customers
C10327,39.8,3,13.27,1,Low-Value Customers
C10328,6911.74,26,265.84,0,High-Value Customers
C10329,1169.2,11,106.29,2,Regular Customers
C10330,679.07,8,84.88,2,Regular Customers
C10331,99.67,3,33.22,1,Low-Value Customers
C10332,16.22,1,16.22,1,Low-Value Customers
C10333,709.5,7,101.36,2,Regular Customers
C10334,681.29,7,97.33,2,Regular Customers
C10335,137.77,4,34.44,1,Low-Value Customers
C10336,8949.31,26,344.2,0,High-Value Customers
C10337,63.27,2,31.64,1,Low-Value Customers
C10338,542.04,7,77.43,2,Regular Customers
C10339,107.07,4,26.77,1,Low-Value Customers
C10340,4781.26,18,265.63,0,High-Value Customers
C10341,148.49,4,37.12,1,Low-Value Customers
C10342,111.21,4,27.8,1,Low-Value Customers
C10343,17.32,1,17.32,1,Low-Value Customers
C10344,75.82,3,25.27,1,Low-Value Customers
C10345,534.0,6,89.0,2,Regular Customers
C10346,847.13,8,105.89,2,Regular Customers
C10347,75.24,4,18.81,1,Low-Value Customers
C10348,791.95,11,72.0,2,Regular Customers
C10349,397.74,5,79.55,2,Regular Customers
C10350,673.1,9,74.79,2,Regular Customers
C10351,161.32,4,40.33,1,Low-Value Customers
C10352,80.1,2,40.05,1,Low-Value Customers
C10353,480.72,6,80.12,2,Regular Customers
C10354,113.83,4,28.46,1,Low-Value Customers
C10355,815.05,8,101.88,2,Regular Customers
C10356,136.63,4,34.16,1,Low-Value Customers
C10357,558.72,7,79.82,2,Regular Customers
C10358,72.01,2,36.01,1,Low-Value Customers
C10359,23.33,1,23.33,1,Low-Value Customers
C10360,593.34,11,53.94,2,Regular Customers
C10361,447.79,7,63.97,2,Regular Customers
C10362,281.16,6,46.86,1,Low-Value Customers
C10363,46.19,2,23.1,1,Low-Value Customers
C10364,22.94,1,22.94,1,Low-Value Customers
C10365,21.36,1,21.36,1,Low-Value Customers
C10366,87.1,3,29.03,1,Low-Value Customers
C10367,164.15,4,41.04,1,Low-Value Customers
C10368,943.36,12,78.61,2,Regular Customers
C10369,87.05,2,43.52,1,Low-Value Customers
C10370,69.52,4,17.38,1,Low-Value Customers
C10371,28.87,1,28.87,1,Low-Value Customers
C10372,110.67,4,27.67,1,Low-Value Customers
C10373,1084.97,11,98.63,2,Regular Customers
C10374,771.65,11,70.15,2,Regular Customers
C10375,6813.05,23,296.22,0,High-Value Customers
C10376,1157.32,11,105.21,2,Regular Customers
C10377,585.79,10,58.58,2,Regular Customers
C10378,50.7,1,50.7,1,Low-Value Customers
C10379,136.56,4,34.14,1,Low-Value Customers
C10380,433.13,9,48.13,2,Regular Customers
C10381,87.28,2,43.64,1,Low-Value Customers
C10382,61.65,2,30.82,1,Low-Value Customers
C10383,4574.2,14,326.73,0,High-Value Customers
C10384,997.03,11,90.64,2,Regular Customers
C10385,539.03,7,77.0,2,Regular Customers
C10386,85.17,2,42.58,1,Low-Value Customers
C10387,931.91,11,84.72,2,Regular Customers
C10388,68.42,3,22.81,1,Low-Value Customers
C10389,91.0,4,22.75,1,Low-Value Customers
C10390,59.81,4,14.95,1,Low-Value Customers
C10391,120.11,4,30.03,1,Low-Value Customers
C10392,69.9,4,17.48,1,Low-Value Customers
C10393,783.59,10,78.36,2,Regular Customers
C10394,72.21,2,36.11,1,Low-Value Customers
C10395,184.14,4,46.04,1,Low-Value Customers
C10396,1322.05,12,110.17,2,Regular Customers
C10397,133.43,4,33.36,1,Low-Value Customers
C10398,437.2,7,62.46,2,Regular Customers
C10399,35.55,1,35.55,1,Low-Value Customers
C10400,441.75,5,88.35,2,Regular Customers
C10401,106.2,3,35.4,1,Low-Value Customers
C10402,513.6,6,85.6,2,Regular Customers
C10403,49.28,2,24.64,1,Low-Value Customers
C10404,6853.18,25,274.13,0,High-Value Customers
C10405,45.22,3,15.07,1,Low-Value Customers
C10406,62.35,3,20.78,1,Low-Value Customers
C10407,473.73,8,59.22,2,Regular Customers
C10408,17.06,1,17.06,1,Low-Value Customers
C10409,119.14,4,29.78,1,Low-Value Customers
C10410,168.97,4,42.24,1,Low-Value Customers
C10411,540.39,5,108.08,2,Regular Customers
C10412,754.71,10,75.47,2,Regular Customers
C10413,64.46,3,21.49,1,Low-Value Customers
C10414,36.05,1,36.05,1,Low-Value Customers
C10415,536.85,8,67.11,2,Regular Customers
C10416,22.32,1,22.32,1,Low-Value Customers
C10417,59.87,2,29.94,1,Low-Value Customers
C10418,79.05,2,39.52,1,Low-Value Customers
C10419,9673.7,27,358.29,0,High-Value Customers
C10420,1164.5,10,116.45,2,Regular Customers
C10421,78.01,2,39.01,1,Low-Value Customers
C10422,4226.63,14,301.9,0,High-Value Customers
C10423,98.64,4,24.66,1,Low-Value Customers
C10424,1081.31,11,98.3,2,Regular Customers
C10425,142.92,4,35.73,1,Low-Value Customers
C10426,72.12,4,18.03,1,Low-Value Customers
C10427,56.81,2,28.4,1,Low-Value Customers
C10428,31.76,1,31.76,1,Low-Value Customers
C10429,740.93,9,82.33,2,Regular Customers
C10430,2117.52,11,192.5,2,Regular Customers
C10431,115.72,3,38.57,1,Low-Value Customers
C10432,451.55,6,75.26,2,Regular Customers
C10433,4559.61,15,303.97,0,High-Value Customers
C10434,4527.05,16,282.94,0,High-Value Customers
C10435,1050.34,12,87.53,2,Regular Customers
C10436,653.23,8,81.65,2,Regular Customers
C10437,60.55,2,30.28,1,Low-Value Customers
C10438,359.08,7,51.3,2,Regular Customers
C10439,179.7,4,44.92,1,Low-Value Customers
C10440,39.43,1,39.43,1,Low-Value Customers
C10441,39.6,2,19.8,1,Low-Value Customers
C10442,34.68,1,34.68,1,Low-Value Customers
C10443,430.29,8,53.79,2,Regular Customers
C10444,868.97,9,96.55,2,Regular Customers
C10445,1017.46,11,92.5,2,Regular Customers
C10446,43.96,1,43.96,1,Low-Value Customers
C10447,27.35,2,13.68,1,Low-Value Customers
C10448,748.01,11,68.0,2,Regular Customers
C10449,566.76,8,70.84,2,Regular Customers
C10450,35.81,1,35.81,1,Low-Value Customers
C10451,71.39,3,23.8,1,Low-Value Customers
C10452,73.88,2,36.94,1,Low-Value Customers
C10453,1161.23,11,105.57,2,Regular Customers
C10454,90.65,3,30.22,1,Low-Value Customers
C10455,17.01,1,17.01,1,Low-Value Customers
C10456,44.34,1,44.34,1,Low-Value Customers
C10457,9.46,1,9.46,1,Low-Value Customers
C10458,7496.01,23,325.91,0,High-Value Customers
C10459,39.9,1,39.9,1,Low-Value Customers
C10460,48.28,2,24.14,1,Low-Value Customers
C10461,525.24,6,87.54,2,Regular Customers
C10462,1111.62,11,101.06,2,Regular Customers
C10463,152.47,4,38.12,1,Low-Value Customers
C10464,82.5,2,41.25,1,Low-Value Customers
C10465,424.13,7,60.59,2,Regular Customers
C10466,835.34,8,104.42,2,Regular Customers
C10467,7099.06,24,295.79,0,High-Value Customers
C10468,1715.56,11,155.96,2,Regular Customers
C10469,118.73,3,39.58,1,Low-Value Customers
C10470,38.53,2,19.26,1,Low-Value Customers
C10471,4186.17,24,174.42,0,High-Value Customers
C10472,32.68,1,32.68,1,Low-Value Customers
C10473,101.17,3,33.72,1,Low-Value Customers
C10474,413.63,7,59.09,2,Regular Customers
C10475,493.33,7,70.48,2,Regular Customers
C10476,61.46,2,30.73,1,Low-Value Customers
C10477,167.7,4,41.92,1,Low-Value Customers
C10478,758.99,7,108.43,2,Regular Customers
C10479,591.34,6,98.56,2,Regular Customers
C10480,77.73,4,19.43,1,Low-Value Customers
C10481,1065.17,12,88.76,2,Regular Customers
C10482,5932.66,21,282.51,0,High-Value Customers
C10483,134.41,4,33.6,1,Low-Value Customers
C10484,4564.67,25,182.59,0,High-Value Customers
C10485,47.56,1,47.56,1,Low-Value Customers
C10486,47.98,2,23.99,1,Low-Value Customers
C10487,30.07,2,15.04,1,Low-Value Customers
C10488,1017.31,9,113.03,2,Regular Customers
C10489,529.64,10,52.96,2,Regular Customers
C10490,97.66,4,24.42,1,Low-Value Customers
C10491,191.05,4,47.76,1,Low-Value Customers
C10492,11.65,1,11.65,1,Low-Value Customers
C10493,659.45,11,59.95,2,Regular Customers
C10494,109.26,4,27.32,1,Low-Value Customers
C10495,1047.51,11,95.23,2,Regular Customers
C10496,4021.76,13,309.37,0,High-Value Customers
C10497,442.46,6,73.74,2,Regular Customers
C10498,115.47,3,38.49,1,Low-Value Customers
C10499,1114.33,12,92.86,2,Regular Customers
C10500,52.06,3,17.35,1,Low-Value Customers
C10501,51.16,2,25.58,1,Low-Value Customers
C10502,59.77,4,14.94,1,Low-Value Customers
C10503,1162.51,12,96.88,2,Regular Customers
C10504,725.52,9,80.61,2,Regular Customers
C10505,76.92,4,19.23,1,Low-Value Customers
C10506,43.45,1,43.45,1,Low-Value Customers
C10507,33.06,1,33.06,1,Low-Value Customers
C10508,28.43,1,28.43,1,Low-Value Customers
C10509,57.66,3,19.22,1,Low-Value Customers
C10510,178.62,4,44.66,1,Low-Value Customers
C10511,22.81,1,22.81,1,Low-Value Customers
C10512,76.76,4,19.19,1,Low-Value Customers
C10513,459.82,7,65.69,2,Regular Customers
C10514,5555.66,19,292.4,0,High-Value Customers
C10515,80.14,2,40.07,1,Low-Value Customers
C10516,859.47,11,78.13,2,Regular Customers
C10517,31.99,1,31.99,1,Low-Value Customers
C10518,31.05,1,31.05,1,Low-Value Customers
C10519,844.63,8,105.58,2,Regular Customers
C10520,362.43,7,51.78,2,Regular Customers
C10521,662.52,12,55.21,2,Regular Customers
C10522,5935.24,17,349.13,0,High-Value Customers
C10523,605.06,6,100.84,2,Regular Customers
C10524,90.28,4,22.57,1,Low-Value Customers
C10525,870.62,10,87.06,2,Regular Customers
C10526,18.08,1,18.08,1,Low-Value Customers
C10527,87.66,3,29.22,1,Low-Value Customers
C10528,32.86,1,32.86,1,Low-Value Customers
C10529,34.39,1,34.39,1,Low-Value Customers
C10530,805.24,8,100.66,2,Regular Customers
C10531,5057.58,25,202.3,0,High-Value Customers
C10532,77.73,2,38.86,1,Low-Value Customers
C10533,76.08,2,38.04,1,Low-Value Customers
C10534,805.74,8,100.72,2,Regular Customers
C10535,317.79,6,52.96,1,Low-Value Customers
C10536,5235.32,25,209.41,0,High-Value Customers
C10537,70.34,2,35.17,1,Low-Value Customers
C10538,91.63,2,45.82,1,Low-Value Customers
C10539,117.48,3,39.16,1,Low-Value Customers
C10540,80.33,2,40.17,1,Low-Value Customers
C10541,146.65,4,36.66,1,Low-Value Customers
C10542,13.77,1,13.77,1,Low-Value Customers
C10543,25.17,1,25.17,1,Low-Value Customers
C10544,109.46,4,27.36,1,Low-Value Customers
C10545,5083.25,14,363.09,0,High-Value Customers
C10546,55.64,2,27.82,1,Low-Value Customers
C10547,51.11,2,25.56,1,Low-Value Customers
C10548,28.24,1,28.24,1,Low-Value Customers
C10549,163.18,4,40.8,1,Low-Value Customers
C10550,19.95,2,9.98,1,Low-Value Customers
C10551,132.02,3,44.01,1,Low-Value Customers
C10552,835.27,12,69.61,2,Regular Customers
C10553,873.11,8,109.14,2,Regular Customers
C10554,862.0,12,71.83,2,Regular Customers
C10555,418.91,7,59.84,2,Regular Customers
C10556,478.84,6,79.81,2,Regular Customers
C10557,6400.25,20,320.01,0,High-Value Customers
C10558,8074.37,27,299.05,0,High-Value Customers
C10559,22.93,1,22.93,1,Low-Value Customers
C10560,46.11,1,46.11,1,Low-Value Customers
C10561,701.89,8,87.74,2,Regular Customers
C10562,529.59,8,66.2,2,Regular Customers
C10563,5349.42,22,243.16,0,High-Value Customers
C10564,49.35,2,24.67,1,Low-Value Customers
C10565,113.79,3,37.93,1,Low-Value Customers
C10566,6030.28,21,287.16,0,High-Value Customers
C10567,80.2,2,40.1,1,Low-Value Customers
C10568,355.64,5,71.13,1,Low-Value Customers
C10569,33.5,1,33.5,1,Low-Value Customers
