TransactionID,CustomerID,TransactionDate,TransactionAmount,ProductCategory
T100023,C10007,2026-03-01,28.93,Groceries
T106131,C10927,2025-07-16,75.33,Home & Kitchen
T106038,C10917,2026-06-01,105.67,Electronics
T102650,C10407,2026-02-23,41.57,Home & Kitchen
T105537,C10849,2025-11-01,198.65,Electronics
T103132,C10482,2025-07-28,204.67,Beauty & Personal Care
T105055,C10775,2025-09-05,36.38,Clothing
T105107,C10779,2025-09-29,17.64,Beauty & Personal Care
T102225,C10336,2026-05-03,411.62,Electronics
T100535,C10074,2026-04-26,99.14,Home & Kitchen
T102417,C10373,2025-09-29,102.17,Electronics
T105676,C10861,2025-09-28,304.57,Home & Kitchen
T102846,C10435,2025-06-21,81.58,Electronics
T106438,C10978,2025-12-14,66.22,Clothing
T104758,C10735,2026-03-22,62.75,Groceries
T103528,C10545,2026-04-05,254.09,Books
T102653,C10407,2026-01-06,70.65,Groceries
T102858,C10437,2026-05-22,32.74,Home & Kitchen
T104511,C10694,2025-08-10,21.79,Clothing
T103129,C10482,2026-05-20,270.65,Groceries
T104837,C10750,2026-04-17,182.39,Electronics
T103491,C10536,2025-07-14,200.31,Electronics
T103951,C10602,2025-09-04,212.43,Clothing
T104047,C10613,2025-10-16,383.9,Home & Kitchen
T101084,C10159,2026-04-03,38.37,Home & Kitchen
T105294,C10810,2025-11-06,316.76,Clothing
T106486,C10985,2025-07-18,66.75,Books
T101965,C10301,2025-08-16,319.18,Home & Kitchen
T101315,C10211,2025-09-04,126.33,Clothing
T104418,C10679,2025-10-14,82.95,Groceries
T103199,C10489,2025-12-30,65.98,Groceries
T102271,C10342,2025-06-21,26.27,Home & Kitchen
T103505,C10536,2025-10-20,142.36,Books
T103573,C10553,2026-02-15,107.43,Electronics
T105950,C10902,2025-07-01,83.88,Groceries
T106535,C10994,2026-04-06,101.8,Home & Kitchen
T104713,C10729,2025-10-16,265.91,Groceries
T100233,C10028,2025-06-11,243.82,Beauty & Personal Care
T106022,C10913,2025-06-13,144.85,Electronics
T104638,C10713,2025-07-27,16.89,Home & Kitchen
T101480,C10230,2026-04-28,307.63,Clothing
T105563,C10851,2025-08-26,113.72,Beauty & Personal Care
T104397,C10674,2026-02-08,282.0,Groceries
T101831,C10283,2026-03-31,94.01,Electronics
T101747,C10270,2026-05-18,102.87,Clothing
T104704,C10729,2026-02-21,276.93,Clothing
T103780,C10576,2026-03-15,184.41,Books
T101740,C10269,2026-01-17,87.23,Groceries
T101578,C10248,2025-07-30,186.09,Electronics
T106471,C10984,2025-06-30,100.85,Clothing
T101079,C10158,2025-10-28,315.33,Beauty & Personal Care
T101623,C10252,2025-07-31,35.7,Books
T102510,C10383,2026-01-29,343.24,Clothing
T105636,C10856,2025-08-19,267.26,Groceries
T100080,C10015,2025-12-26,294.52,Electronics
T105671,C10861,2026-02-07,297.89,Clothing
T104695,C10727,2026-04-08,42.13,Groceries
T103917,C10599,2025-08-24,46.09,Home & Kitchen
T101454,C10227,2026-05-17,60.81,Electronics
T105325,C10813,2026-03-19,97.26,Electronics
T102847,C10435,2026-02-08,77.85,Electronics
T100468,C10060,2026-04-14,317.26,Beauty & Personal Care
T103794,C10578,2026-01-22,18.24,Clothing
T101144,C10174,2026-01-04,30.4,Electronics
T100401,C10051,2025-08-04,238.67,Home & Kitchen
T100381,C10049,2026-02-03,264.89,Books
T103455,C10531,2025-10-13,304.34,Groceries
T103365,C10519,2025-06-04,138.11,Electronics
T105663,C10859,2026-01-22,227.96,Groceries
T101108,C10165,2026-03-14,81.27,Clothing
T105650,C10859,2025-09-29,293.09,Clothing
T100842,C10128,2026-02-27,159.05,Clothing
T101593,C10250,2026-05-14,357.63,Clothing
T102167,C10329,2025-07-17,89.4,Clothing
T100239,C10029,2025-06-15,92.08,Clothing
T103265,C10499,2026-02-18,120.46,Beauty & Personal Care
T104955,C10767,2025-06-03,29.75,Clothing
T103270,C10499,2025-07-31,88.11,Groceries
T103879,C10591,2025-12-22,275.43,Home & Kitchen
T101694,C10263,2025-09-08,101.69,Clothing
T102348,C10357,2026-03-02,89.29,Beauty & Personal Care
T106162,C10934,2026-02-09,62.62,Electronics
T103929,C10600,2026-05-05,101.08,Books
T104283,C10651,2025-07-21,40.93,Books
T102389,C10367,2025-06-28,47.28,Electronics
T105947,C10902,2026-05-16,99.32,Clothing
T105835,C10886,2025-09-06,19.41,Home & Kitchen
T102584,C10396,2026-04-13,122.85,Electronics
T100982,C10149,2026-05-09,299.81,Electronics
T103080,C10474,2025-06-25,80.69,Beauty & Personal Care
T102364,C10360,2025-11-02,51.8,Electronics
T102882,C10443,2025-06-17,58.51,Electronics
T106548,C10997,2025-11-18,18.29,Electronics
T101870,C10287,2025-07-25,57.95,Electronics
T104063,C10616,2026-03-26,191.74,Electronics
T104912,C10758,2026-02-03,30.43,Clothing
T103169,C10484,2025-12-17,183.26,Books
T104750,C10733,2025-08-16,29.25,Books
T102970,C10458,2025-12-06,234.77,Beauty & Personal Care
T103320,C10512,2025-10-05,16.85,Groceries
T102570,C10393,2025-12-01,82.65,Home & Kitchen
T103172,C10484,2025-08-22,138.21,Groceries
T100334,C10040,2026-01-17,36.44,Groceries
T103109,C10479,2026-01-24,76.99,Groceries
T103484,C10536,2026-03-26,160.45,Groceries
T103439,C10530,2026-01-19,101.51,Beauty & Personal Care
T100812,C10122,2026-02-24,114.99,Groceries
T104905,C10757,2025-09-08,281.56,Beauty & Personal Care
T102798,C10431,2025-12-28,36.57,Clothing
T101672,C10259,2026-05-08,178.58,Groceries
T105451,C10836,2026-05-26,109.36,Electronics
T101357,C10215,2025-11-20,290.93,Clothing
T102582,C10396,2025-08-12,105.61,Home & Kitchen
T101452,C10227,2025-11-03,55.94,Clothing
T105018,C10771,2025-06-15,76.23,Groceries
T102716,C10419,2025-08-25,368.3,Groceries
T105014,C10771,2026-04-20,75.05,Home & Kitchen
T106469,C10983,2025-10-03,92.89,Electronics
T106335,C10964,2025-12-08,87.65,Electronics
T103196,C10489,2025-12-04,70.11,Clothing
T103809,C10580,2025-12-18,386.96,Clothing
T100088,C10016,2025-08-11,145.03,Clothing
T103268,C10499,2025-08-20,94.81,Books
T101773,C10272,2025-11-17,351.63,Clothing
T106345,C10964,2025-10-03,87.53,Groceries
T100217,C10028,2026-01-30,264.56,Home & Kitchen
T106077,C10921,2025-12-25,165.7,Clothing
T100156,C10024,2026-05-26,136.42,Electronics
T103875,C10591,2025-08-05,344.83,Groceries
T104982,C10768,2025-06-01,285.39,Clothing
T100230,C10028,2025-12-30,239.89,Electronics
T102977,C10461,2025-10-09,69.4,Clothing
T106398,C10972,2025-06-19,353.42,Clothing
T102399,C10368,2026-01-20,88.02,Clothing
T102885,C10444,2025-12-17,95.59,Home & Kitchen
T105627,C10856,2026-05-06,210.65,Clothing
T104140,C10628,2026-01-02,364.1,Clothing
T105419,C10829,2025-12-17,85.68,Electronics
T101038,C10152,2025-12-12,261.57,Electronics
T100198,C10027,2025-09-24,220.09,Beauty & Personal Care
T100743,C10108,2026-01-17,68.95,Home & Kitchen
T100828,C10126,2026-05-27,19.65,Clothing
T105913,C10897,2025-07-29,107.78,Electronics
T104988,C10769,2025-11-29,37.15,Clothing
T106228,C10948,2025-06-07,63.11,Electronics
T101566,C10248,2025-06-02,226.16,Electronics
T104252,C10646,2026-02-02,26.31,Home & Kitchen
T102117,C10325,2025-12-30,286.68,Groceries
T102098,C10324,2026-02-25,26.97,Groceries
T103007,C10466,2026-01-06,81.2,Groceries
T103922,C10600,2026-02-19,93.3,Groceries
T105071,C10776,2025-09-16,96.47,Clothing
T106564,C10998,2026-03-07,202.79,Books
T101400,C10218,2025-12-27,39.0,Groceries
T106383,C10969,2026-04-08,19.04,Beauty & Personal Care
T104434,C10685,2026-01-22,19.45,Electronics
T102552,C10390,2026-04-24,24.92,Electronics
T103207,C10491,2026-02-20,47.71,Groceries
T106234,C10948,2026-01-30,47.34,Home & Kitchen
T101897,C10291,2026-05-03,112.4,Books
T103692,C10566,2026-05-13,340.79,Electronics
T100763,C10112,2025-11-02,87.07,Home & Kitchen
T100864,C10132,2025-11-20,228.98,Groceries
T103787,C10577,2025-12-12,81.4,Home & Kitchen
T106107,C10923,2025-08-01,131.72,Clothing
T106342,C10964,2025-09-27,84.24,Clothing
T105863,C10891,2025-11-03,74.25,Electronics
T106119,C10925,2026-01-25,48.64,Clothing
T100756,C10110,2026-05-04,64.91,Groceries
T102164,C10328,2025-11-15,344.73,Home & Kitchen
T106322,C10963,2025-10-01,179.2,Groceries
T100208,C10027,2025-09-21,242.93,Electronics
T103830,C10583,2025-06-27,91.08,Electronics
T101176,C10180,2026-02-09,31.28,Clothing
T102801,C10432,2025-07-10,115.44,Electronics
T101193,C10184,2026-01-14,32.18,Electronics
T101992,C10304,2026-04-06,42.26,Groceries
T106189,C10941,2026-05-12,285.27,Groceries
T104937,C10763,2025-06-07,123.72,Electronics
T104155,C10633,2026-01-03,76.94,Groceries
T105263,C10803,2026-01-12,82.57,Clothing
T106134,C10927,2026-05-04,71.5,Books
T104787,C10743,2025-11-20,151.68,Beauty & Personal Care
T105812,C10882,2026-03-18,75.51,Electronics
T105637,C10856,2025-10-19,112.63,Electronics
T104457,C10689,2026-05-25,29.51,Groceries
T106393,C10972,2026-03-23,276.18,Groceries
T106312,C10962,2025-09-21,13.35,Electronics
T102966,C10458,2025-07-28,348.01,Clothing
T104336,C10662,2026-01-01,35.47,Clothing
T100538,C10074,2025-09-01,113.53,Clothing
T103612,C10557,2025-08-28,306.95,Electronics
T100549,C10075,2026-04-13,45.12,Electronics
T102283,C10346,2026-05-21,88.24,Groceries
T101163,C10178,2025-10-05,33.45,Groceries
T105843,C10888,2026-02-20,5.91,Clothing
T105836,C10886,2026-05-04,11.99,Groceries
T105380,C10822,2025-12-07,279.11,Clothing
T102944,C10454,2025-06-19,30.55,Clothing
T101499,C10231,2026-04-24,47.61,Clothing
T101488,C10230,2026-05-30,195.22,Groceries
T100764,C10112,2026-05-17,105.75,Clothing
T103352,C10516,2026-03-03,89.77,Electronics
T105146,C10787,2026-04-11,20.31,Groceries
T103379,C10521,2025-11-13,39.19,Clothing
T102499,C10383,2025-12-29,336.15,Groceries
T100833,C10128,2025-10-26,176.8,Books
T105386,C10823,2025-10-04,104.71,Clothing
T104834,C10749,2025-11-09,24.36,Beauty & Personal Care
T105697,C10865,2025-06-11,61.7,Beauty & Personal Care
T104323,C10660,2026-03-02,29.19,Beauty & Personal Care
T105365,C10820,2026-05-05,269.18,Groceries
T102197,C10334,2026-03-26,91.99,Books
T106467,C10983,2025-12-22,95.6,Clothing
T100503,C10065,2026-01-02,18.29,Home & Kitchen
T105540,C10849,2026-04-10,300.79,Home & Kitchen
T104025,C10612,2025-12-05,245.46,Clothing
T102753,C10423,2025-11-24,25.33,Clothing
T101339,C10213,2026-03-31,259.66,Clothing
T101022,C10152,2025-12-17,249.13,Groceries
T100037,C10011,2026-01-03,33.76,Home & Kitchen
T102447,C10375,2026-03-30,284.66,Clothing
T101862,C10286,2026-01-04,75.67,Electronics
T100747,C10109,2026-02-21,84.74,Electronics
T100296,C10033,2025-10-02,339.37,Groceries
T101617,C10250,2025-07-09,274.84,Groceries
T103515,C10540,2025-09-25,43.34,Clothing
T103078,C10473,2025-06-23,34.0,Groceries
T102880,C10443,2025-11-09,34.04,Beauty & Personal Care
T101385,C10216,2025-12-11,55.17,Clothing
T105518,C10847,2025-07-13,77.73,Books
T103148,C10482,2025-06-05,285.69,Electronics
T102227,C10336,2026-05-14,315.54,Groceries
T102138,C10327,2025-11-09,9.0,Electronics
T100696,C10103,2025-07-13,108.26,Groceries
T104631,C10710,2026-02-20,16.12,Clothing
T106237,C10948,2026-04-18,51.46,Home & Kitchen
T101421,C10224,2025-07-11,100.45,Clothing
T101926,C10296,2025-10-13,14.72,Clothing
T101323,C10212,2026-03-06,36.71,Groceries
T104503,C10693,2026-05-15,73.5,Electronics
T105851,C10890,2026-04-18,51.99,Beauty & Personal Care
T101221,C10191,2026-01-28,76.57,Books
T101477,C10230,2025-06-15,292.48,Clothing
T103795,C10579,2026-02-11,95.35,Groceries
T102287,C10346,2025-12-03,99.18,Electronics
T100585,C10079,2025-10-10,324.66,Electronics
T101056,C10157,2025-11-01,50.36,Home & Kitchen
T100712,C10105,2025-06-17,13.32,Groceries
T100805,C10121,2025-06-09,80.99,Clothing
T104482,C10691,2026-04-24,117.93,Electronics
T105253,C10802,2025-06-17,42.45,Groceries
T104819,C10747,2025-06-14,47.45,Clothing
T101741,C10269,2026-01-08,86.26,Clothing
T102609,C10401,2025-08-29,37.07,Groceries
T101893,C10290,2025-12-23,52.2,Groceries
T101789,C10275,2026-04-17,48.44,Electronics
T101507,C10232,2026-01-01,73.33,Clothing
T100346,C10044,2026-04-03,22.77,Electronics
T101219,C10190,2025-11-10,55.33,Electronics
T100706,C10104,2026-04-23,72.18,Clothing
T106507,C10990,2025-09-29,82.45,Groceries
T104817,C10747,2026-03-04,38.52,Home & Kitchen
T100676,C10100,2026-05-03,17.06,Groceries
T105460,C10837,2026-05-05,37.69,Clothing
T100157,C10024,2025-06-20,115.54,Beauty & Personal Care
T100351,C10045,2026-05-11,77.61,Beauty & Personal Care
T100960,C10145,2026-02-01,72.17,Books
T103306,C10506,2025-11-10,43.45,Clothing
T101743,C10269,2026-03-01,106.22,Electronics
T102662,C10409,2025-07-13,33.92,Home & Kitchen
T100435,C10056,2025-09-10,105.18,Books
T104586,C10704,2026-02-18,86.25,Electronics
T102465,C10376,2025-09-04,114.92,Clothing
T106089,C10922,2025-09-01,80.06,Beauty & Personal Care
T102934,C10453,2026-05-17,119.22,Groceries
T105771,C10876,2025-12-20,103.95,Electronics
T104369,C10669,2025-07-29,77.25,Electronics
T100476,C10060,2026-02-08,372.61,Electronics
T102929,C10452,2025-09-18,37.23,Groceries
T102304,C10348,2025-12-27,98.42,Clothing
T103357,C10516,2026-05-23,51.42,Books
T104595,C10705,2026-02-15,74.96,Groceries
T106529,C10994,2026-03-18,77.46,Beauty & Personal Care
T101075,C10158,2026-03-07,248.14,Electronics
T106555,C10998,2025-06-20,133.74,Beauty & Personal Care
T103958,C10603,2026-01-06,29.56,Beauty & Personal Care
T105399,C10826,2026-02-26,40.5,Electronics
T103578,C10554,2025-08-09,60.64,Clothing
T103065,C10471,2026-05-06,186.19,Home & Kitchen
T103012,C10467,2026-02-09,252.82,Electronics
T100079,C10015,2025-10-03,206.13,Groceries
T100167,C10025,2025-10-12,91.83,Electronics
T105403,C10827,2026-02-07,98.77,Clothing
T102548,C10389,2026-01-13,26.66,Groceries
T102758,C10424,2025-12-30,81.26,Electronics
T105695,C10865,2025-11-21,80.74,Home & Kitchen
T105792,C10880,2025-08-18,38.23,Clothing
T105151,C10788,2026-01-04,24.55,Clothing
T103035,C10467,2026-04-07,339.52,Books
T101352,C10214,2025-11-13,90.65,Electronics
T100179,C10026,2025-08-03,303.28,Groceries
T100378,C10049,2025-08-18,404.35,Home & Kitchen
T104656,C10717,2025-09-09,46.56,Home & Kitchen
T106461,C10982,2025-10-10,37.84,Electronics
T102572,C10393,2025-09-06,77.58,Electronics
T101807,C10278,2026-02-05,84.4,Clothing
T105114,C10780,2026-01-24,48.28,Groceries
T104162,C10634,2025-12-23,42.99,Groceries
T105205,C10797,2026-01-07,80.65,Clothing
T106391,C10971,2025-12-24,108.91,Beauty & Personal Care
T100752,C10110,2025-11-03,42.87,Groceries
T102299,C10348,2026-02-10,45.94,Beauty & Personal Care
T104793,C10743,2026-01-10,197.43,Clothing
T102578,C10395,2025-09-17,45.4,Beauty & Personal Care
T102571,C10393,2026-04-20,60.35,Clothing
T100050,C10013,2025-08-18,113.17,Clothing
T101188,C10182,2025-12-08,111.18,Groceries
T106066,C10920,2026-02-16,38.62,Beauty & Personal Care
T103764,C10576,2025-08-27,203.22,Groceries
T102505,C10383,2025-07-30,277.88,Electronics
T101726,C10267,2025-07-13,21.93,Books
T105396,C10824,2025-12-03,38.62,Clothing
T104666,C10719,2025-06-08,41.52,Beauty & Personal Care
T101543,C10239,2025-07-04,22.08,Beauty & Personal Care
T105678,C10861,2025-08-13,313.57,Groceries
T100308,C10036,2025-07-22,69.7,Beauty & Personal Care
T104119,C10625,2025-07-28,257.89,Home & Kitchen
T101153,C10176,2025-07-01,32.79,Home & Kitchen
T100733,C10107,2025-08-02,98.17,Books
T102398,C10368,2026-05-24,90.09,Home & Kitchen
T100472,C10060,2026-01-24,268.02,Books
T102722,C10419,2025-07-30,284.08,Electronics
T104993,C10770,2026-02-06,323.49,Groceries
T105669,C10860,2026-05-16,35.97,Clothing
T103316,C10511,2025-11-10,22.81,Home & Kitchen
T103349,C10516,2026-05-23,81.29,Groceries
T102519,C10384,2025-07-21,77.94,Clothing
T105416,C10828,2026-02-26,39.77,Groceries
T101412,C10222,2025-06-23,62.31,Clothing
T101860,C10286,2025-12-13,61.75,Clothing
T104412,C10678,2025-08-15,17.81,Groceries
T105395,C10824,2026-01-26,41.43,Clothing
T101181,C10181,2026-01-22,73.64,Electronics
T105723,C10867,2025-07-30,132.2,Groceries
T100496,C10062,2026-03-11,37.48,Clothing
T103934,C10601,2025-08-08,44.24,Home & Kitchen
T103209,C10491,2026-01-13,45.81,Electronics
T100561,C10076,2025-10-27,97.52,Clothing
T100093,C10016,2025-06-08,155.13,Books
T105458,C10837,2025-07-02,32.69,Home & Kitchen
T105758,C10874,2025-11-17,32.19,Books
T101405,C10220,2026-02-01,13.84,Electronics
T101199,C10186,2026-05-13,41.07,Electronics
T103705,C10566,2025-10-08,295.26,Groceries
T101005,C10149,2025-09-24,367.84,Clothing
T100322,C10038,2025-11-03,43.88,Electronics
T100248,C10030,2026-01-19,128.49,Clothing
T106520,C10991,2026-03-28,16.94,Clothing
T105701,C10867,2026-03-18,151.53,Home & Kitchen
T103698,C10566,2025-06-07,326.54,Electronics
T105681,C10862,2025-07-07,30.91,Groceries
T100746,C10109,2025-06-29,98.87,Beauty & Personal Care
T103414,C10524,2025-12-14,19.24,Home & Kitchen
T106046,C10918,2025-12-31,70.32,Groceries
T104701,C10728,2026-03-11,48.78,Clothing
T104464,C10690,2025-07-10,51.51,Electronics
T105527,C10848,2026-02-27,236.19,Electronics
T101669,C10259,2026-05-30,225.51,Electronics
T100091,C10016,2026-03-09,219.95,Electronics
T102656,C10407,2026-03-30,38.81,Books
T100318,C10038,2025-07-04,61.02,Clothing
T103043,C10468,2025-08-07,172.23,Electronics
T102370,C10361,2025-11-15,59.07,Electronics
T104545,C10700,2026-05-20,94.43,Clothing
T105321,C10813,2025-07-30,79.43,Clothing
T106302,C10959,2025-07-06,95.05,Clothing
T102836,C10434,2026-02-14,366.85,Beauty & Personal Care
T101720,C10266,2025-11-12,207.45,Clothing
T105576,C10852,2025-10-07,90.18,Books
T100017,C10006,2025-09-28,94.39,Beauty & Personal Care
T104220,C10644,2026-03-15,56.27,Electronics
T102181,C10330,2026-05-10,78.31,Clothing
T102338,C10355,2026-04-24,98.08,Clothing
T104307,C10657,2025-08-28,109.06,Clothing
T105770,C10876,2025-06-06,134.74,Groceries
T106257,C10953,2026-03-02,20.07,Groceries
T102549,C10389,2025-07-23,31.99,Electronics
T104453,C10688,2026-05-21,85.57,Clothing
T105705,C10867,2025-09-20,58.1,Books
T103704,C10566,2025-08-24,272.86,Beauty & Personal Care
T105103,C10778,2025-08-12,108.26,Beauty & Personal Care
T101158,C10178,2025-12-28,72.86,Books
T104730,C10730,2026-05-02,84.44,Electronics
T105979,C10906,2026-05-07,30.42,Electronics
T105978,C10906,2025-08-21,29.18,Home & Kitchen
T105764,C10876,2026-05-01,108.02,Groceries
T105829,C10884,2025-08-04,51.44,Beauty & Personal Care
T106005,C10911,2025-12-17,21.63,Groceries
T102623,C10404,2026-04-12,325.05,Beauty & Personal Care
T104732,C10730,2025-09-03,86.58,Groceries
T105525,C10848,2026-02-28,204.95,Clothing
T103499,C10536,2025-12-13,193.15,Electronics
T100265,C10031,2025-11-07,221.14,Home & Kitchen
T103630,C10558,2026-02-17,340.16,Groceries
T102905,C10447,2026-05-03,19.34,Beauty & Personal Care
T103308,C10508,2025-12-26,28.43,Groceries
T100932,C10140,2026-04-03,188.08,Groceries
T103501,C10536,2026-04-27,179.62,Electronics
T104475,C10691,2025-10-10,185.89,Groceries
T100014,C10005,2026-04-13,67.91,Beauty & Personal Care
T102618,C10403,2025-08-16,25.58,Groceries
T103720,C10569,2025-09-17,33.5,Electronics
T105359,C10819,2026-01-04,38.5,Home & Kitchen
T100008,C10003,2025-11-22,30.33,Clothing
T105480,C10842,2026-04-11,442.05,Groceries
T105832,C10885,2025-12-16,23.3,Home & Kitchen
T100332,C10039,2025-10-14,97.68,Groceries
T101034,C10152,2026-01-17,226.19,Home & Kitchen
T103250,C10496,2026-06-01,329.24,Clothing
T106007,C10912,2025-07-01,68.93,Home & Kitchen
T105477,C10842,2026-01-27,343.07,Beauty & Personal Care
T106440,C10978,2025-11-03,30.14,Electronics
T101501,C10231,2026-05-31,41.89,Books
T104529,C10696,2026-01-10,174.03,Electronics
T104402,C10675,2025-06-25,38.73,Beauty & Personal Care
T102168,C10329,2025-10-27,104.75,Groceries
T102742,C10422,2026-04-08,291.0,Groceries
T101370,C10215,2026-03-18,262.7,Electronics
T106464,C10983,2025-08-18,84.73,Books
T102446,C10375,2025-09-29,311.09,Clothing
T106514,C10990,2026-01-16,77.26,Electronics
T103661,C10562,2025-11-03,53.26,Clothing
T101235,C10193,2026-01-10,343.87,Groceries
T105543,C10849,2026-02-02,206.45,Beauty & Personal Care
T101599,C10250,2025-12-28,276.03,Clothing
T103662,C10562,2026-01-16,69.78,Books
T105559,C10850,2025-07-07,25.84,Beauty & Personal Care
T100800,C10120,2026-04-10,97.54,Clothing
T102350,C10357,2025-12-29,94.79,Books
T103626,C10558,2026-05-19,268.62,Clothing
T101618,C10251,2025-06-26,41.97,Home & Kitchen
T104504,C10693,2025-10-27,64.09,Groceries
